NO_MUN;CO_MUN;SG_UF;;;;
APARECIDA;3402507;SP;;;;
ARAPEI;3403158;SP;;;;
AREIAS;3403505;SP;;;;
;;;;;;
CACAPAVA;3408504;SP;;;;
CACHOEIRA PAULISTA;3408603;SP;;;;
CAMPOS DO JORDAO;3409700;SP;;;;
CANAS;3409957;SP;;;;
CARAGUATATUBA;3410500;SP;;;;
CUNHA;3413603;SP;;;;
GUARATINGUETA;3418404;SP;;;;
IGARATA;3420202;SP;;;;
JACAREI;3424402;SP;;;;
JAMBEIRO;3424907;SP;;;;
LAVRINHAS;3426605;SP;;;;
LORENA;3427207;SP;;;;
PARAIBUNA;3435606;SP;;;;
PINDAMONHANGABA;3438006;SP;;;;
POTIM;3440754;SP;;;;
REDENCAO DA SERRA;3442305;SP;;;;
ROSEIRA;3444301;SP;;;;
SANTA BRANCA;3446009;SP;;;;
SAO JOSE DOS CAMPOS;3449904;SP;;;;
SANTO ANTONIO DO PINHAL;3448203;SP;;;;
SAO LUIS DO PARAITINGA;3450001;SP;;;;
SILVEIRAS;3452007;SP;;;;
TAUBATE;3454102;SP;;;;
TREMEMBE;3454805;SP;;;;
UBATUBA;3455406;SP;;;;
;;;;;;
MONTEIRO LOBATO;3531704;SP;;;;
NATIVIDADE DA SERRA;3432306;SP;;;;
PIQUETE;3438501;SP;;;;
SAO BENTO DO SAPUCAI;3448609;SP;;;;
SAO JOSE DO BARREIRO;3449607;SP;;;;
QUELUZ;3441901;SP;;;;
SAO SEBASTIAO;3450704;SP;;;;
LAGOINHA;3426308;SP;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;  
